Prompt,File,LLM,S1,S2,S3,S4,Smells_All_OK,Lines_Match,Only_Oracle,Only_LLM
Prompt_01,script_01.js,claude,SIM,SIM,SIM,SIM,SIM,NÃO,"S2:L37, S4:L26","S1:L23, S2:L26, S2:L27, S2:L28, S2:L29, S2:L30, S2:L31, S2:L32, S2:L33, S2:L34, S2:L35, S3:L53, S3:L54, S3:L83, S3:L84, S4:L52, S4:L53, S4:L54, S4:L82, S4:L83, S4:L84"
Prompt_01,script_02.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L165, S2:L217, S3:L176, S3:L183, S3:L193, S3:L205, S3:L223, S3:L228, S3:L238, S3:L250, S4:L32","S2:L104, S2:L32, S2:L58, S2:L6, S4:L183, S4:L193, S4:L205, S4:L228, S4:L238, S4:L250"
Prompt_01,script_03.js,claude,NÃO,NÃO,NÃO,SIM,NÃO,NÃO,"S1:L38, S3:L103, S3:L128, S3:L60, S3:L85, S4:L29","S2:L27, S2:L31, S4:L103, S4:L128, S4:L60, S4:L85"
Prompt_01,script_04.js,claude,SIM,SIM,SIM,SIM,SIM,NÃO,"S2:L21, S4:L4","S2:L10, S2:L11, S2:L12, S2:L13, S2:L14, S2:L15, S2:L16, S2:L17, S2:L18, S2:L19, S2:L4, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S4:L22, S4:L24, S4:L26"
Prompt_01,script_05.js,claude,SIM,SIM,SIM,SIM,SIM,NÃO,"S2:L28, S4:L0","S2:L7, S2:L8, S2:L9, S4:L29, S4:L31, S4:L33"
Prompt_01,script_06.js,claude,SIM,SIM,SIM,SIM,SIM,NÃO,"S2:L15, S4:L4","S2:L10, S2:L11, S2:L12, S2:L4, S2:L5, S2:L6, S2:L7, S2:L8, S2:L9, S4:L16, S4:L18, S4:L20"
Prompt_01,script_07.js,claude,SIM,SIM,NÃO,SIM,NÃO,NÃO,"S2:L24, S4:L7","S2:L10, S2:L7, S2:L8, S2:L9, S3:L48, S3:L49, S3:L50, S4:L48"
Prompt_01,script_08.js,claude,NÃO,SIM,SIM,NÃO,NÃO,NÃO,"S1:L4, S3:L9","S2:L1, S2:L10, S2:L11, S2:L12, S2:L13, S2:L2, S2:L3, S2:L4, S2:L5, S2:L7, S2:L8, S2:L9, S4:L11"
Prompt_01,script_09.js,claude,SIM,NÃO,SIM,SIM,NÃO,NÃO,"S2:L51, S4:L35","S3:L71, S3:L72, S3:L74, S3:L88, S3:L89, S3:L90, S3:L91, S3:L92, S4:L70, S4:L71, S4:L72, S4:L88, S4:L89, S4:L90, S4:L91, S4:L92"
Prompt_01,script_10.js,claude,SIM,NÃO,NÃO,SIM,NÃO,NÃO,"S3:L1363, S3:L1368, S3:L1424, S3:L1429, S3:L1485, S3:L1490, S3:L1547, S3:L1552, S3:L1608, S3:L1613, S3:L1669, S3:L1674, S3:L1730, S3:L1735, S3:L2112, S3:L2117, S3:L2163, S3:L2168, S3:L2214, S3:L2219, S3:L2266, S3:L2271, S3:L2317, S3:L2322, S3:L2368, S3:L2373, S3:L2419, S3:L2424, S3:L2718, S3:L2723, S3:L2769, S3:L2774, S3:L2820, S3:L2825, S3:L2872, S3:L2877, S3:L2923, S3:L2928, S3:L2974, S3:L2979, S3:L3025, S3:L3030, S3:L3389, S3:L3394, S3:L3440, S3:L3445, S3:L3491, S3:L3496, S3:L3543, S3:L3548, S3:L3594, S3:L3599, S3:L3645, S3:L3650, S3:L3696, S3:L3701, S3:L3860, S3:L3865, S3:L3913, S3:L3918, S3:L3966, S3:L3971, S3:L4020, S3:L4025, S3:L4073, S3:L4078, S3:L4126, S3:L4131, S3:L4179, S3:L4184, S3:L4385, S3:L4390, S3:L4446, S3:L4451, S3:L4507, S3:L4512, S3:L4569, S3:L4574, S3:L4630, S3:L4635, S3:L4691, S3:L4696, S3:L4752, S3:L4757, S3:L536, S3:L541, S3:L602, S3:L607, S3:L668, S3:L673, S3:L735, S3:L740, S3:L801, S3:L806, S3:L867, S3:L872, S3:L933, S3:L938, S4:L16","S2:L16, S4:L1035, S4:L1108, S4:L1176, S4:L1244, S4:L132, S4:L1328, S4:L1389, S4:L1450, S4:L1512, S4:L1573, S4:L1634, S4:L1695, S4:L1759, S4:L178, S4:L1827, S4:L1900, S4:L1968, S4:L2027, S4:L2077, S4:L2128, S4:L217, S4:L2179, S4:L2231, S4:L2282, S4:L2333, S4:L2384, S4:L2438, S4:L2506, S4:L2574, S4:L260, S4:L2633, S4:L2683, S4:L2734, S4:L2785, S4:L2837, S4:L2888, S4:L29, S4:L2939, S4:L2990, S4:L3044, S4:L3112, S4:L3185, S4:L3245, S4:L328, S4:L3304, S4:L3354, S4:L3405, S4:L3456, S4:L3508, S4:L3559, S4:L3610, S4:L3661, S4:L3715, S4:L3775, S4:L3825, S4:L3878, S4:L3931, S4:L3985, S4:L401, S4:L4038, S4:L4091, S4:L4144, S4:L4200, S4:L4268, S4:L4350, S4:L4411, S4:L4472, S4:L4534, S4:L4595, S4:L4656, S4:L4717, S4:L501, S4:L567, S4:L633, S4:L700, S4:L766, S4:L832, S4:L898, S4:L92, S4:L967"
Prompt_01,script_11.js,claude,SIM,NÃO,SIM,NÃO,NÃO,NÃO,"S2:L115, S2:L174, S2:L246, S2:L280","S3:L106, S3:L133, S3:L134, S3:L139, S3:L140, S3:L154, S3:L155, S3:L156, S3:L163, S3:L164, S3:L197, S3:L198, S3:L205, S3:L206, S3:L219, S3:L220, S3:L221, S3:L233, S3:L234, S3:L263, S3:L264, S3:L270, S3:L271, S3:L310, S3:L311, S3:L312, S3:L327, S3:L328, S3:L341, S3:L342, S3:L343, S3:L349, S3:L350, S3:L383, S3:L384, S3:L385, S3:L396, S3:L397, S3:L398, S3:L411, S3:L412, S3:L413, S3:L426, S3:L427, S3:L428, S3:L99, S4:L132, S4:L138, S4:L146, S4:L162, S4:L196, S4:L204, S4:L213, S4:L229, S4:L262, S4:L269, S4:L302, S4:L319, S4:L334, S4:L348, S4:L376, S4:L390, S4:L404, S4:L419, S4:L99"
Prompt_01,script_12.js,claude,SIM,SIM,NÃO,NÃO,NÃO,NÃO,"S3:L108, S3:L110, S3:L122, S3:L134, S3:L141, S3:L148, S3:L158, S3:L170, S3:L176, S3:L195, S3:L210, S3:L43, S3:L50, S3:L64, S3:L72","S1:L21, S1:L22, S1:L23, S1:L24, S1:L27, S1:L28, S1:L29, S1:L30, S1:L31, S1:L32, S1:L33, S1:L34, S4:L110, S4:L122, S4:L134, S4:L141, S4:L148, S4:L158, S4:L170, S4:L176, S4:L195, S4:L210, S4:L43, S4:L50, S4:L64, S4:L72"
Prompt_01,script_13.js,claude,SIM,NÃO,SIM,SIM,NÃO,NÃO,"S3:L285, S3:L290, S3:L338, S3:L343, S3:L391, S3:L396, S3:L445, S3:L450, S3:L498, S3:L503, S3:L551, S3:L556, S3:L604, S3:L609, S4:L15","S2:L15, S2:L16, S2:L17, S3:L140, S3:L200, S3:L250, S3:L30, S3:L303, S3:L356, S3:L410, S3:L463, S3:L516, S3:L569, S3:L93, S4:L140, S4:L200, S4:L250, S4:L30, S4:L303, S4:L356, S4:L410, S4:L463, S4:L516, S4:L569, S4:L93"
