LLM,File,Accuracy_Prompt_01,Accuracy_Prompt_02,F1_Prompt_01,F1_Prompt_02,Precision_Prompt_01,Precision_Prompt_02,Recall_Prompt_01,Recall_Prompt_02,Delta_Precision,Delta_Recall,Delta_F1,Delta_Accuracy
chatgpt,script_01.js,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_02.js,0.75,0.75,0.8,0.8,1.0,1.0,0.6667,0.6667,0.0,0.0,0.0,0.0
chatgpt,script_03.js,0.25,0.5,0.0,0.6667,0.0,0.6667,0.0,0.6667,0.6667,0.6667,0.6667,0.25
chatgpt,script_04.js,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_05.js,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_06.js,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_07.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_08.js,0.75,0.25,0.8571,0.0,0.75,0.0,1.0,0.0,-0.75,-1.0,-0.8571,-0.5
chatgpt,script_09.js,0.75,0.75,0.8,0.8,1.0,1.0,0.6667,0.6667,0.0,0.0,0.0,0.0
chatgpt,script_10.js,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
chatgpt,script_100.js,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
chatgpt,script_101.js,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_102.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_103.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_104.js,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
chatgpt,script_105.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_106.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_107.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_108.js,0.75,0.75,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,0.0
chatgpt,script_109.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_11.js,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0
chatgpt,script_110.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_111.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_112.js,0.75,0.75,0.6667,0.0,0.5,0.0,1.0,0.0,-0.5,-1.0,-0.6667,0.0
chatgpt,script_113.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_114.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_115.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_116.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_117.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_118.js,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
chatgpt,script_119.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_12.js,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,-0.5,-0.5,-0.5,0.0
chatgpt,script_120.js,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25
chatgpt,script_121.js,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
chatgpt,script_122.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_123.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_124.js,0.5,0.25,0.5,0.0,0.3333,0.0,1.0,0.0,-0.3333,-1.0,-0.5,-0.25
chatgpt,script_125.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_126.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_127.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_128.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_129.js,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
chatgpt,script_13.js,0.5,0.5,0.5,0.0,0.5,0.0,0.5,0.0,-0.5,-0.5,-0.5,0.0
chatgpt,script_130.js,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
chatgpt,script_131.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_133.js,0.5,0.5,0.5,0.5,0.3333,0.3333,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_134.js,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
chatgpt,script_136.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_137.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_138.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_140.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_143.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_144.js,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
chatgpt,script_145.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_146.js,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_148.js,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_149.js,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
chatgpt,script_15.js,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chatgpt,script_150.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
chatgpt,script_151.js,0.75,0.75,0.6667,0.6667,0.5,0.5,1.0,1.0,0.0,0.0,0.0,0.0
