Prompt,LLM,Smell,TP,FP,FN,TN,Precision,Recall,F1,Accuracy
Prompt_01,chatgpt,S1,10,6,5,207,0.625,0.6667,0.6452,0.9518
Prompt_01,chatgpt,S2,39,110,17,62,0.2617,0.6964,0.3805,0.443
Prompt_01,chatgpt,S3,29,48,58,93,0.3766,0.3333,0.3537,0.5351
Prompt_01,chatgpt,S4,115,64,31,18,0.6425,0.7877,0.7077,0.5833
Prompt_01,claude,S1,12,7,3,206,0.6316,0.8,0.7059,0.9561
Prompt_01,claude,S2,40,120,16,52,0.25,0.7143,0.3704,0.4035
Prompt_01,claude,S3,23,58,64,83,0.284,0.2644,0.2738,0.4649
Prompt_01,claude,S4,123,64,23,18,0.6578,0.8425,0.7387,0.6184
Prompt_01,gemini,S1,14,8,1,205,0.6364,0.9333,0.7568,0.9605
Prompt_01,gemini,S2,41,129,15,43,0.2412,0.7321,0.3628,0.3684
Prompt_01,gemini,S3,33,62,54,79,0.3474,0.3793,0.3626,0.4912
Prompt_01,gemini,S4,125,69,21,13,0.6443,0.8562,0.7353,0.6053
