repositório,url,arquivo,file_exists,clone_error,k6-performance/no-heavy-init-context,k6-performance/no-heavy-init-context_loc,k6-performance/require-check,k6-performance/require-check_loc,k6-performance/require-tags,k6-performance/require-tags_loc,k6-performance/require-thresholds,k6-performance/require-thresholds_loc,smells_presentes,name_vs
arn-ob/script-load-testing,https://github.com/arn-ob/script-load-testing,specs/others/orderPurchaseDup.js,yes,,1,22:17,1,37:1,2,52:20; 82:27,1,26:12,abcd,script_01.json
snothub/snothub.github.io,https://github.com/snothub/snothub.github.io,loadtest-infra/k6scripts/Biometri/Biometri.js,yes,,0,,2,165:17; 217:17,8,176:17; 183:23; 193:23; 205:23; 223:17; 228:23; 238:23; 250:23,1,32:14,bcd,script_02.json
supabase/benchmarks,https://github.com/supabase/benchmarks,examples/storage/upload-multipart/load.js,yes,,1,38:17,0,,4,60:21; 85:25; 103:30; 128:21,1,29:14,acd,script_03.json
trangle-sioux/k6-performance,https://github.com/trangle-sioux/k6-performance,tests/test-types/stress-test.js,yes,,0,,1,21:1,3,22:5; 24:5; 26:5,1,4:14,bcd,script_04.json
khvalbotaihor/k6_14_05_2025,https://github.com/khvalbotaihor/k6_14_05_2025,smoke-test.js,yes,,0,,1,28:1,3,29:5; 31:5; 33:5,1,0,bcd,script_05.json
Chris-Owusu/k6,https://github.com/Chris-Owusu/k6,usingProjectOnCloud.js,yes,,0,,1,15:1,3,16:5; 18:5; 20:5,1,4:14,bcd,script_06.json
QAInsights/Learn-k6-Series,https://github.com/QAInsights/Learn-k6-Series,dataRead_v2/main.js,yes,,2,22:15; 22:26,1,24:1,0,,1,7:14,abd,script_07.json
edusoftpro/js-k6,https://github.com/edusoftpro/js-k6,k6-apijs-examples/01init-context/bin-file.js,yes,,1,4:17,examples/storage/upload-multipart/load.js,6:1,2,9:11; 11:3,0,,abc,script_08.json
supabase/benchmarks,https://github.com/supabase/benchmarks,examples/postgrest/rpc-insert/terraform/k6/load.js,yes,,0,,1,51:1,1,70:19,1,35:14,bcd,script_09.json
firmansyah-github/quarkus-generated-test,https://github.com/firmansyah-github/quarkus-generated-test,src/main/k6/factor.all.k6.collection.js,yes,,0,,0,,98,536:7; 541:7; 602:7; 607:7; 668:7; 673:7; 735:7; 740:7; 801:7; 806:7; 867:7; 872:7; 933:7; 938:7; 1363:7; 1368:7; 1424:7; 1429:7; 1485:7; 1490:7; 1547:7; 1552:7; 1608:7; 1613:7; 1669:7; 1674:7; 1730:7; 1735:7; 2112:7; 2117:7; 2163:7; 2168:7; 2214:7; 2219:7; 2266:7; 2271:7; 2317:7; 2322:7; 2368:7; 2373:7; 2419:7; 2424:7; 2718:7; 2723:7; 2769:7; 2774:7; 2820:7; 2825:7; 2872:7; 2877:7; 2923:7; 2928:7; 2974:7; 2979:7; 3025:7; 3030:7; 3389:7; 3394:7; 3440:7; 3445:7; 3491:7; 3496:7; 3543:7; 3548:7; 3594:7; 3599:7; 3645:7; 3650:7; 3696:7; 3701:7; 3860:7; 3865:7; 3913:7; 3918:7; 3966:7; 3971:7; 4020:7; 4025:7; 4073:7; 4078:7; 4126:7; 4131:7; 4179:7; 4184:7; 4385:7; 4390:7; 4446:7; 4451:7; 4507:7; 4512:7; 4569:7; 4574:7; 4630:7; 4635:7; 4691:7; 4696:7; 4752:7; 4757:7,1,16:12,cd,script_10.json
