LLM,Smell,Accuracy_Prompt_01,Accuracy_Prompt_02,F1_Prompt_01,F1_Prompt_02,FN_Prompt_01,FN_Prompt_02,FP_Prompt_01,FP_Prompt_02,Precision_Prompt_01,Precision_Prompt_02,Recall_Prompt_01,Recall_Prompt_02,TN_Prompt_01,TN_Prompt_02,TP_Prompt_01,TP_Prompt_02,Delta_Precision,Delta_Recall,Delta_F1,Delta_Accuracy
chatgpt,S1,0.9518,0.9474,0.6452,0.5714,5.0,7.0,6.0,5.0,0.625,0.6154,0.6667,0.5333,207.0,208.0,10.0,8.0,-0.0096,-0.1334,-0.0738,-0.0044
chatgpt,S2,0.443,0.4649,0.3805,0.3838,17.0,18.0,110.0,104.0,0.2617,0.2676,0.6964,0.6786,62.0,68.0,39.0,38.0,0.0059,-0.0178,0.0033,0.0219
chatgpt,S3,0.5351,0.5175,0.3537,0.3038,58.0,63.0,48.0,47.0,0.3766,0.338,0.3333,0.2759,93.0,94.0,29.0,24.0,-0.0386,-0.0574,-0.0499,-0.0176
chatgpt,S4,0.5833,0.5877,0.7077,0.7025,31.0,35.0,64.0,59.0,0.6425,0.6529,0.7877,0.7603,18.0,23.0,115.0,111.0,0.0104,-0.0274,-0.0052,0.0044
claude,S1,0.9561,0.9605,0.7059,0.7273,3.0,3.0,7.0,6.0,0.6316,0.6667,0.8,0.8,206.0,207.0,12.0,12.0,0.0351,0.0,0.0214,0.0044
claude,S2,0.4035,0.4518,0.3704,0.3902,16.0,16.0,120.0,109.0,0.25,0.2685,0.7143,0.7143,52.0,63.0,40.0,40.0,0.0185,0.0,0.0198,0.0483
claude,S3,0.4649,0.4737,0.2738,0.2208,64.0,70.0,58.0,50.0,0.284,0.2537,0.2644,0.1954,83.0,91.0,23.0,17.0,-0.0303,-0.069,-0.053,0.0088
claude,S4,0.6184,0.557,0.7387,0.6645,23.0,46.0,64.0,55.0,0.6578,0.6452,0.8425,0.6849,18.0,27.0,123.0,100.0,-0.0126,-0.1576,-0.0742,-0.0614
gemini,S1,0.9605,0.9781,0.7568,0.8571,1.0,0.0,8.0,5.0,0.6364,0.75,0.9333,1.0,205.0,208.0,14.0,15.0,0.1136,0.0667,0.1003,0.0176
gemini,S2,0.3684,0.3991,0.3628,0.3687,15.0,16.0,129.0,121.0,0.2412,0.2484,0.7321,0.7143,43.0,51.0,41.0,40.0,0.0072,-0.0178,0.0059,0.0307
gemini,S3,0.4912,0.4825,0.3626,0.3218,54.0,59.0,62.0,59.0,0.3474,0.3218,0.3793,0.3218,79.0,82.0,33.0,28.0,-0.0256,-0.0575,-0.0408,-0.0087
gemini,S4,0.6053,0.5789,0.7353,0.7037,21.0,32.0,69.0,64.0,0.6443,0.6404,0.8562,0.7808,13.0,18.0,125.0,114.0,-0.0039,-0.0754,-0.0316,-0.0264
