Prompt,LLM,Smell,TP,FP,FN,TN,Precision,Recall,F1,Accuracy
Prompt_02,chatgpt,S1,8,5,7,208,0.6154,0.5333,0.5714,0.9474
Prompt_02,chatgpt,S2,38,104,18,68,0.2676,0.6786,0.3838,0.4649
Prompt_02,chatgpt,S3,24,47,63,94,0.338,0.2759,0.3038,0.5175
Prompt_02,chatgpt,S4,111,59,35,23,0.6529,0.7603,0.7025,0.5877
Prompt_02,claude,S1,12,6,3,207,0.6667,0.8,0.7273,0.9605
Prompt_02,claude,S2,40,109,16,63,0.2685,0.7143,0.3902,0.4518
Prompt_02,claude,S3,17,50,70,91,0.2537,0.1954,0.2208,0.4737
Prompt_02,claude,S4,100,55,46,27,0.6452,0.6849,0.6645,0.557
Prompt_02,gemini,S1,15,5,0,208,0.75,1.0,0.8571,0.9781
Prompt_02,gemini,S2,40,121,16,51,0.2484,0.7143,0.3687,0.3991
Prompt_02,gemini,S3,28,59,59,82,0.3218,0.3218,0.3218,0.4825
Prompt_02,gemini,S4,114,64,32,18,0.6404,0.7808,0.7037,0.5789
